IFMAP SRAM Size,	Filter SRAM Size,	OFMAP SRAM Size,	Conv Layer Num,	DRAM IFMAP Read BW,	DRAM Filter Read BW,	DRAM OFMAP Write BW,	SRAM Read BW,	SRAM OFMAP Write BW, 
110592,	110592,	110592,	Conv1,	1.697248788033124,	0.05477901646765888,	0.4400430083187143,	26.10564232672489,	0.4400430083187143,
110592,	110592,	110592,	Conv2,	1.709371568775688,	0.004234624173210632,	0.0673438022397827,	26.467871882906206,	0.0673438022397827,
110592,	110592,	110592,	Conv3,	0.05964618167379891,	1.3722151144836106,	0.06405788150174262,	25.157283992147175,	0.06405788150174262,
110592,	110592,	110592,	Conv4,	0.060079988149903715,	1.3949933343208414,	0.043015849503777216,	25.340250518441714,	0.043015849503777216,
110592,	110592,	110592,	Conv5,	0.08811824051380582,	1.3514939610164773,	0.04206038304603749,	24.983871602859605,	0.04206038304603749,
